SEX	REC	Hi	Fis	LD_0-1000	D_1_0	D_0_1	D_SINGER	D_IQ_TREE	C_1_0	A_1_0	S_1_0	C_0_1	A_0_1	S_0_1	C_SINGER	A_SINGER	S_SINGER	C_IQ_TREE	A_IQ_TREE	S_IQ_TREE
0.0	0.0	0.007010280000000001	-0.32660575129154423	0.16093790915342807	-0.008513519605896677	0.013384830218832392	0.008507394634448535	-0.2956542878144981	1.0	0.0	0.0	1.0	0.0	0.0	0.737188	0.030856	0.231956	1.0	0.0	0.0
0.0	0.0	0.006966269999999999	-0.3972855253123754	0.18546669892147072	-0.000719728775892874	0.0	0.08955223880597014	-0.0386834168078531	1.0	0.0	0.0	1.0	0.0	0.0	0.990728	0.000392	0.00888	1.0	0.0	0.0
0.0	0.0	0.006636519999999999	-0.4749760046463934	0.24008332186682782	-0.0041405644698006465	0.10403704875391051	-0.02547609134571601	0.14000994604858802	1.0	0.0	0.0	1.0	0.0	0.0	0.968444	0.002908	0.028648	1.0	0.0	0.0
0.0	0.0	0.007045110000000001	-0.4165519018741197	0.1706412339772565	-0.00547903459137179	-0.06985749891738142	-0.02454976632365185	-0.14420596298130212	1.0	0.0	0.0	1.0	0.0	0.0	0.89144	0.009644	0.098916	1.0	0.0	0.0
0.0	0.0	0.007001670000000001	-0.49354628780525944	0.24415916937957255	-0.038466621620025135	-0.05635520748942299	-0.08053489884854967	-0.06941037770285174	1.0	0.0	0.0	1.0	0.0	0.0	0.935984	0.005332	0.058684	1.0	0.0	0.0
0.0	0.0	0.00687534	-0.4578757140293011	0.2381882034312756	-0.04727213640449988	-0.09836586988624378	-0.044421485725495716	-0.06270659406610837	1.0	0.0	0.0	1.0	0.0	0.0	0.952996	0.007296	0.039708	1.0	0.0	0.0
0.0	0.0	0.006972029999999998	-0.33421473971180454	0.14030916395505344	-0.027328417951648035	-0.0675116540461951	0.02199928396639977	-0.14763651481059425	1.0	0.0	0.0	1.0	0.0	0.0	0.890224	0.007036	0.10274	1.0	0.0	0.0
0.0	0.0	0.0069502600000000015	-0.3970679795840769	0.21871728400328308	0.032818276537627575	0.1115333902117428	0.07023447225910513	-0.08895211545989255	1.0	0.0	0.0	1.0	0.0	0.0	0.988796	0.000968	0.010236	1.0	0.0	0.0
0.0	0.0	0.007098039999999999	-0.448611848187852	0.21256139563342297	-0.013789601542448253	-0.07148098324568913	0.0980145190670055	-0.26011138253622385	1.0	0.0	0.0	1.0	0.0	0.0	0.979536	0.001084	0.01938	1.0	0.0	0.0
0.0	0.0	0.00716692	-0.4975884192463288	0.2750569013992745	-0.05327706593723006	-0.12014457831325301	0.031063539745221958	-0.010714740484300649	1.0	0.0	0.0	1.0	0.0	0.0	0.986912	4.8e-05	0.01304	1.0	0.0	0.0
0.0	0.0	0.006948550000000001	-0.373561376904037	0.18596855204629795	-0.027851846140994518	-0.05316204383010632	-0.0432995292643651	0.7295831682342424	1.0	0.0	0.0	1.0	0.0	0.0	0.750912	0.04154	0.207548	1.0	0.0	0.0
0.0	0.0	0.0069165599999999995	-0.3853227698615227	0.16305841252014103	0.006117056843148117	-0.02868081564710778	0.11274408276473602	-0.07566457776097746	1.0	0.0	0.0	1.0	0.0	0.0	0.97794	0.000116	0.021944	1.0	0.0	0.0
0.0	0.0	0.0069263400000000004	-0.45861109963841384	0.21463469346846628	0.013455163901960193	0.07549907905263353	0.15901786381627897	-0.14263897420321967	1.0	0.0	0.0	1.0	0.0	0.0	0.968844	0.000452	0.030704	1.0	0.0	0.0
0.0	0.0	0.00710897	-0.36903633556632653	0.16378889257995513	0.0	0.0	0.0	-0.02732680953355395	1.0	0.0	0.0	1.0	0.0	0.0	0.994216	0.0	0.005784	1.0	0.0	0.0
0.0	0.0	0.007230469999999999	-0.3619716648030901	0.15755474056600932	0.0075195681521568304	0.06976434710637759	0.02916446213450493	0.08817999380907053	1.0	0.0	0.0	1.0	0.0	0.0	0.911344	0.00706	0.081596	1.0	0.0	0.0
0.0	0.0	0.007080619999999999	-0.5005187728077086	0.2726894780750793	-0.02040488207073744	-0.1373868764915763	0.035421827393868524	0.28957665149699974	1.0	0.0	0.0	1.0	0.0	0.0	0.971532	0.000336	0.028132	1.0	0.0	0.0
0.0	0.0	0.006856790000000001	-0.37737907747202665	0.16617307059777653	-0.0064109498060178375	0.12007396414858784	0.08854410525970995	-0.012645271954566748	1.0	0.0	0.0	1.0	0.0	0.0	0.989996	0.000212	0.009792	1.0	0.0	0.0
0.0	0.0	0.00703955	-0.4518046602394419	0.21588631249948081	-0.15453276154383166	0.0	0.0	-0.06286755384766474	1.0	0.0	0.0	1.0	0.0	0.0	0.992104	0.000188	0.007708	1.0	0.0	0.0
0.0	0.0	0.00702702	-0.4389709873862861	0.2166858903906752	0.01753297524966868	0.11853637998490558	-0.02547990276805667	-0.19826492528790302	1.0	0.0	0.0	1.0	0.0	0.0	0.927724	0.004196	0.06808	1.0	0.0	0.0
0.0	0.0	0.0067163100000000005	-0.5004218187300045	0.28309746181338347	0.027053073813637186	-0.09291365669074647	-0.0016734032491067048	0.01914687725575005	1.0	0.0	0.0	1.0	0.0	0.0	0.98336	0.000628	0.016012	1.0	0.0	0.0
0.0	0.0	0.00695293	-0.43971211445153957	0.21576544126806407	0.012417092825463718	0.11679611532334487	-0.009730558762055655	0.17901285307161457	1.0	0.0	0.0	1.0	0.0	0.0	0.918644	0.00656	0.074796	1.0	0.0	0.0
0.0	0.0	0.00703812	-0.4974465814957122	0.26673312759145534	-0.03375892168131835	-0.07891415626053351	-0.041299305829610534	-0.0405689842149968	1.0	0.0	0.0	1.0	0.0	0.0	0.976488	0.001828	0.021684	1.0	0.0	0.0
0.0	0.0	0.0070788000000000005	-0.42480168106590016	0.18768715097711997	0.03058998546984772	0.056926768650640606	-0.05486656221768591	-0.025416434518870757	1.0	0.0	0.0	1.0	0.0	0.0	0.978144	0.000468	0.021388	1.0	0.0	0.0
0.0	0.0	0.00701801	-0.4718513133300711	0.23308856039334602	-0.032720791377112375	-0.05784182135892826	-0.06159324198923886	0.10777237057290293	1.0	0.0	0.0	1.0	0.0	0.0	0.979948	0.001196	0.018856	1.0	0.0	0.0
0.0	0.0	0.007118389999999999	-0.3800626209381359	0.1578014865617026	0.010534989302074993	0.031039189437488512	-0.042177404290669074	-0.06248702971529067	1.0	0.0	0.0	1.0	0.0	0.0	0.971628	0.001892	0.02648	1.0	0.0	0.0
